account_id,credit_limit,sex,education,marriage,age,repay_status_1,repay_status_2,repay_status_3,repay_status_4,repay_status_5,repay_status_6,bill_amt_1,bill_amt_2,bill_amt_3,bill_amt_4,bill_amt_5,bill_amt_6,pay_amt_1,pay_amt_2,pay_amt_3,pay_amt_4,pay_amt_5,pay_amt_6,default_next_month,utilization,avg_utilization_6m,payment_ratio_6m,worst_delinquency_6m,avg_delinquency_6m,months_delinquent_6m,delinquency_trend,age_band,pd_score,lgd_assumption,ead,expected_loss,risk_band
1,20000.0,2,2,1,24,2,2,-1,-1,-2,-2,3913.0,3102.0,689.0,0.0,0.0,0.0,0.0,689.0,0.0,0.0,0.0,0.0,1,0.19565,0.0642,0.08943406022845275,2,-0.3333333333333333,2,2.666666666666667,18-25,0.86234576,0.6,20000.0,10348.149061203003,Severe
2,120000.0,2,2,2,26,-1,2,0,0,0,2,2682.0,1725.0,2682.0,3272.0,3455.0,3261.0,0.0,1000.0,1000.0,1000.0,0.0,2000.0,1,0.02235,0.023718055555555555,0.29279147391227967,2,0.5,2,-0.3333333333333333,26-35,0.6428618,0.6,120000.0,46286.048412323,Severe
3,90000.0,2,2,2,34,0,0,0,0,0,0,29239.0,14027.0,13559.0,14331.0,14948.0,15549.0,1518.0,1500.0,1000.0,1000.0,1000.0,5000.0,0,0.32487777777777777,0.1882462962962963,0.10838834072776997,0,0.0,0,0.0,26-35,0.18945916,0.6,90000.0,10230.79463839531,High
4,50000.0,2,2,1,37,0,0,0,0,0,0,46990.0,48233.0,49291.0,28314.0,28959.0,29547.0,2000.0,2019.0,1200.0,1100.0,1069.0,1000.0,0,0.9398,0.7711133333333333,0.03625926150068732,0,0.0,0,0.0,36-45,0.38778475,0.6,50000.0,11633.542478084562,Severe
5,50000.0,1,2,1,57,-1,0,-1,0,0,0,8617.0,5670.0,35835.0,20940.0,19146.0,19131.0,2000.0,36681.0,10000.0,9000.0,689.0,679.0,0,0.17234,0.36446333333333336,0.5400543264525924,0,-0.3333333333333333,0,-0.6666666666666666,56+,0.278296,0.6,50000.0,8348.87981414795,High
6,50000.0,1,1,2,37,0,0,0,0,0,0,64400.0,57069.0,57608.0,19394.0,19619.0,20024.0,2500.0,1815.0,657.0,1000.0,1000.0,800.0,0,1.288,0.7937133333333333,0.032639827981555056,0,0.0,0,0.0,36-45,0.33322188,0.6,50000.0,9996.656477451324,High
7,500000.0,1,1,2,29,0,0,0,0,0,0,367965.0,412023.0,445007.0,542653.0,483003.0,473944.0,55000.0,40000.0,38000.0,20239.0,13750.0,13770.0,0,0.73593,0.9081983333333333,0.06634343819907179,0,0.0,0,0.0,26-35,0.14402872,0.6,500000.0,43208.6169719696,Medium
8,100000.0,2,2,2,23,0,-1,-1,0,0,-1,11876.0,380.0,601.0,221.0,-159.0,567.0,380.0,601.0,0.0,581.0,1687.0,1542.0,0,0.11876,0.022476666666666666,0.3552573038706807,0,-0.5,0,-0.3333333333333333,18-25,0.25912777,0.6,100000.0,15547.66595363617,High
9,140000.0,2,3,1,28,0,0,2,0,0,0,11285.0,14096.0,12108.0,12211.0,11793.0,3719.0,3329.0,0.0,432.0,1000.0,1000.0,1000.0,0,0.08060714285714286,0.07763333333333333,0.10367723731828497,2,0.3333333333333333,1,0.6666666666666666,26-35,0.7440236,0.6,140000.0,62497.984170913696,Severe
10,20000.0,1,3,2,35,-2,-2,-2,-2,-1,-1,0.0,0.0,0.0,0.0,13007.0,13912.0,0.0,0.0,0.0,13007.0,1122.0,0.0,0,0.0,0.224325,0.5248709090233664,-1,-1.6666666666666667,0,-0.6666666666666667,26-35,0.33404866,0.6,20000.0,4008.583903312683,High
11,200000.0,2,3,2,34,0,0,2,0,0,-1,11073.0,9787.0,5535.0,2513.0,1828.0,3731.0,2306.0,12.0,50.0,300.0,3738.0,66.0,0,0.055365,0.0287225,0.187773812632373,2,0.16666666666666666,1,1.0,26-35,0.6049981,0.6,200000.0,72599.77340698242,Severe
12,260000.0,2,1,2,51,-1,-1,-1,-1,-1,2,12261.0,21670.0,9966.0,8517.0,22287.0,13668.0,21818.0,9966.0,8583.0,22301.0,0.0,3640.0,0,0.04715769230769231,0.05664679487179487,0.7503536307981306,2,-0.5,1,-1.0,46-55,0.46186107,0.6,260000.0,72050.32753944397,Severe
13,630000.0,2,2,2,41,-1,0,-1,-1,-1,-1,12137.0,6500.0,6500.0,6500.0,6500.0,2870.0,1000.0,6500.0,6500.0,6500.0,2870.0,0.0,0,0.019265079365079363,0.0108484126984127,0.5699026995391031,0,-0.8333333333333334,0,0.33333333333333337,36-45,0.13557903,0.6,630000.0,51248.87511134148,Medium
14,70000.0,1,2,2,30,1,2,2,0,0,2,65802.0,67369.0,65701.0,66782.0,36137.0,36894.0,3200.0,0.0,3000.0,3000.0,1500.0,0.0,1,0.9400285714285714,0.8063928571428571,0.03159277795001255,2,1.1666666666666667,4,1.0,26-35,0.7828797,0.6,70000.0,32880.94782829285,Severe
15,250000.0,1,1,2,29,0,0,0,0,0,0,70887.0,67060.0,63561.0,59696.0,56875.0,55512.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,0,0.283548,0.24906066666666665,0.04818103219831313,0,0.0,0,0.0,26-35,0.11058324,0.6,250000.0,16587.485745549202,Medium
16,50000.0,2,3,3,23,1,2,0,0,0,0,50614.0,29173.0,28116.0,28771.0,29531.0,30211.0,0.0,1500.0,1100.0,1200.0,1300.0,1100.0,0,1.01228,0.65472,0.03156565656565657,2,0.5,2,1.0,18-25,0.736381,0.6,50000.0,22091.429829597473,Severe
17,20000.0,1,1,2,24,0,0,2,2,2,2,15376.0,18010.0,17428.0,18338.0,17905.0,19104.0,3200.0,0.0,1500.0,0.0,1650.0,0.0,1,0.7688,0.884675,0.059814809581673116,2,1.3333333333333333,4,-1.3333333333333335,18-25,0.7915914,0.6,20000.0,9499.096870422363,Severe
18,320000.0,1,1,1,49,0,0,0,-1,-1,-1,253286.0,246536.0,194663.0,70074.0,5856.0,195599.0,10358.0,10000.0,75940.0,20000.0,195599.0,50000.0,0,0.79151875,0.5031322916666667,0.37462914616144277,0,-0.5,0,1.0,46-55,0.30296862,0.6,320000.0,58169.97528076172,High
19,360000.0,2,1,1,49,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,1,-1.5,1,1.0,46-55,0.7177689,0.6,360000.0,155038.08403015137,Severe
20,180000.0,2,1,2,29,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,1,-1.5,1,1.0,26-35,0.60780454,0.6,180000.0,65642.88997650146,Severe
